fixture_id,season,date,stadium,game_week,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots_on_target,home_shots,home_fouls,home_corners,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_attempted_passes,home_successful_passes,away_shots_on_target,away_shots,away_fouls,away_corners,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_attempted_passes,away_successful_passes
65,2018,2018-08-10T19:00:00+00:00,Old Trafford,Regular Season - 1,Manchester United,Leicester,2,1,1,0,6,8,11,2,4,46,2,0,3,485,399,4,13,8,5,2,54,1,0,4,543,450
66,2018,2018-08-11T11:30:00+00:00,St James' Park,Regular Season - 1,Newcastle,Tottenham,1,2,1,2,2,15,11,3,1,40,2,0,3,387,268,5,15,12,5,0,60,2,0,1,573,467
67,2018,2018-08-11T14:00:00+00:00,Vitality Stadium,Regular Season - 1,Bournemouth,Cardiff,2,0,1,0,4,12,11,7,0,62,1,0,1,502,397,1,10,9,4,2,38,1,0,2,287,175
68,2018,2018-08-11T14:00:00+00:00,Craven Cottage,Regular Season - 1,Fulham,Crystal Palace,0,2,0,1,6,15,9,5,2,66,1,0,8,672,591,10,12,11,5,3,34,2,0,6,347,258
69,2018,2018-08-11T14:00:00+00:00,John Smith's Stadium,Regular Season - 1,Huddersfield,Chelsea,0,3,0,2,1,6,9,2,2,37,2,0,1,372,281,4,13,8,5,1,63,1,0,1,658,582
70,2018,2018-08-11T14:00:00+00:00,Vicarage Road,Regular Season - 1,Watford,Brighton,2,0,1,0,5,19,10,8,0,53,2,0,0,437,328,0,6,16,2,3,47,2,0,3,385,297
71,2018,2018-08-11T16:30:00+00:00,Molineux Stadium,Regular Season - 1,Wolves,Everton,2,2,1,1,4,11,8,3,2,57,0,0,3,547,452,5,8,7,6,3,43,1,1,2,409,307
72,2018,2018-08-12T12:30:00+00:00,Anfield,Regular Season - 1,Liverpool,West Ham,4,0,2,0,8,18,14,5,5,64,1,0,2,673,606,2,5,9,4,3,36,2,0,4,360,297
73,2018,2018-08-12T12:30:00+00:00,St. Mary's Stadium,Regular Season - 1,Southampton,Burnley,0,0,0,0,3,18,10,8,2,47,0,0,6,369,280,6,16,9,5,5,53,1,0,3,408,311
74,2018,2018-08-12T15:00:00+00:00,Emirates Stadium,Regular Season - 1,Arsenal,Manchester City,0,2,0,1,3,9,11,2,7,42,2,0,6,401,320,8,17,14,9,2,58,2,0,3,555,467
75,2018,2018-08-18T11:30:00+00:00,Cardiff City Stadium,Regular Season - 2,Cardiff,Newcastle,0,0,0,0,1,12,14,5,2,51,2,0,6,314,202,6,12,16,5,0,49,2,1,0,305,182
76,2018,2018-08-19T12:30:00+00:00,Turf Moor,Regular Season - 2,Burnley,Watford,1,3,1,1,3,8,8,5,2,58,1,0,3,461,347,6,9,19,2,4,42,2,0,2,345,233
77,2018,2018-08-18T14:00:00+00:00,Goodison Park,Regular Season - 2,Everton,Southampton,2,1,2,0,7,13,8,2,2,58,0,0,3,423,313,4,15,20,5,3,42,5,0,5,299,185
78,2018,2018-08-18T14:00:00+00:00,King Power Stadium,Regular Season - 2,Leicester,Wolves,2,0,2,0,2,6,10,1,0,42,2,1,2,382,316,3,11,8,9,1,58,1,0,1,500,404
79,2018,2018-08-18T14:00:00+00:00,Wembley Stadium,Regular Season - 2,Tottenham,Fulham,3,1,1,0,11,25,9,5,1,59,0,0,2,629,557,3,10,5,2,3,41,0,0,8,435,356
80,2018,2018-08-18T14:00:00+00:00,London Stadium,Regular Season - 2,West Ham,Bournemouth,1,2,1,0,5,11,14,6,0,61,6,0,3,494,399,5,12,10,4,0,39,2,0,4,321,246
81,2018,2018-08-18T16:30:00+00:00,Stamford Bridge,Regular Season - 2,Chelsea,Arsenal,3,2,2,2,11,24,12,5,3,62,0,0,4,720,641,6,15,9,1,3,38,2,0,8,429,353
82,2018,2018-08-19T12:30:00+00:00,Etihad Stadium,Regular Season - 2,Manchester City,Huddersfield,6,1,3,1,14,32,9,10,1,76,0,0,0,760,706,1,5,4,3,1,24,2,0,9,224,146
83,2018,2018-08-19T15:00:00+00:00,American Express Community Stadium,Regular Season - 2,Brighton,Manchester United,3,2,3,1,3,6,16,3,2,33,1,0,1,283,183,3,9,13,5,2,67,1,0,0,572,485
84,2018,2018-08-20T19:00:00+00:00,Selhurst Park,Regular Season - 2,Crystal Palace,Liverpool,0,2,0,1,2,8,6,6,2,36,1,1,4,359,280,6,16,13,7,2,64,1,0,2,625,559
85,2018,2018-08-25T11:30:00+00:00,Molineux Stadium,Regular Season - 3,Wolves,Manchester City,1,1,0,0,2,11,13,5,4,28,1,0,5,260,177,6,18,8,9,3,72,2,0,1,644,577
86,2018,2018-08-25T14:00:00+00:00,Emirates Stadium,Regular Season - 3,Arsenal,West Ham,3,1,1,1,10,17,16,7,3,61,1,0,4,544,461,5,13,13,2,3,39,3,0,9,341,257
87,2018,2018-08-25T14:00:00+00:00,Vitality Stadium,Regular Season - 3,Bournemouth,Everton,2,2,0,0,5,17,12,6,5,49,0,1,1,382,301,3,11,10,2,0,51,3,1,3,389,303
88,2018,2018-08-26T15:00:00+00:00,Craven Cottage,Regular Season - 3,Fulham,Burnley,4,2,3,2,12,25,11,6,1,63,2,0,0,572,488,2,12,8,4,5,37,1,0,8,301,223
89,2018,2018-08-25T14:00:00+00:00,John Smith's Stadium,Regular Season - 3,Huddersfield,Cardiff,0,0,0,0,1,5,8,7,1,58,0,1,4,396,301,4,14,10,7,1,42,1,0,1,289,194
90,2018,2018-08-25T14:00:00+00:00,St. Mary's Stadium,Regular Season - 3,Southampton,Leicester,1,2,0,0,5,11,13,10,1,51,3,1,3,447,373,5,8,11,3,0,49,1,0,4,425,352
