fixture_id,season,date,stadium,game_week,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots_on_target,home_shots,home_fouls,home_corners,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_attempted_passes,home_successful_passes,away_shots_on_target,away_shots,away_fouls,away_corners,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_attempted_passes,away_successful_passes
91,2018,2018-08-25T16:30:00+00:00,Anfield,Regular Season - 3,Liverpool,Brighton,1,0,1,0,8,22,8,8,1,70,1,0,2,765,669,2,6,14,5,3,30,1,0,6,327,238
92,2018,2018-08-26T12:30:00+00:00,Vicarage Road,Regular Season - 3,Watford,Crystal Palace,2,1,0,0,5,13,14,6,1,43,4,0,2,331,227,3,9,11,3,3,57,2,0,3,436,326
93,2018,2018-08-26T15:00:00+00:00,St James' Park,Regular Season - 3,Newcastle,Chelsea,1,2,0,0,2,6,16,4,2,18,3,0,2,200,131,3,15,8,5,2,82,1,0,1,913,839
94,2018,2018-08-27T19:00:00+00:00,Old Trafford,Regular Season - 3,Manchester United,Tottenham,0,3,0,0,5,23,11,5,2,57,2,0,2,488,375,5,9,16,2,1,43,3,0,5,382,259
95,2018,2018-09-01T11:30:00+00:00,King Power Stadium,Regular Season - 4,Leicester,Liverpool,1,2,0,2,5,12,9,4,3,51,3,0,2,496,401,4,10,12,4,2,49,2,0,4,473,374
96,2018,2018-09-01T14:00:00+00:00,American Express Community Stadium,Regular Season - 4,Brighton,Fulham,2,2,0,1,5,15,12,7,2,41,3,0,3,370,284,5,10,14,1,4,59,3,0,3,551,466
97,2018,2018-09-02T15:00:00+00:00,Turf Moor,Regular Season - 4,Burnley,Manchester United,0,2,0,2,2,9,7,2,1,46,2,0,7,437,350,9,21,13,5,1,54,3,1,2,513,438
98,2018,2018-09-01T14:00:00+00:00,Stamford Bridge,Regular Season - 4,Chelsea,Bournemouth,2,0,0,0,6,24,10,7,2,72,2,0,1,704,616,1,8,7,6,1,28,2,0,4,252,175
99,2018,2018-09-01T14:00:00+00:00,Selhurst Park,Regular Season - 4,Crystal Palace,Southampton,0,2,0,0,6,20,11,7,0,50,1,0,5,432,338,6,19,12,4,1,50,1,0,6,423,326
100,2018,2018-09-01T14:00:00+00:00,Goodison Park,Regular Season - 4,Everton,Huddersfield,1,1,1,1,1,11,13,4,1,57,3,0,5,464,385,6,9,14,3,0,43,3,0,0,335,252
101,2018,2018-09-01T14:00:00+00:00,London Stadium,Regular Season - 4,West Ham,Wolves,0,1,0,0,3,13,10,4,1,47,2,0,5,444,356,6,15,11,4,0,53,1,0,3,495,414
102,2018,2018-09-01T16:30:00+00:00,Etihad Stadium,Regular Season - 4,Manchester City,Newcastle,2,1,1,1,8,24,5,4,2,78,0,0,1,767,688,2,3,13,0,1,22,0,0,6,217,137
103,2018,2018-09-02T12:30:00+00:00,Cardiff City Stadium,Regular Season - 4,Cardiff,Arsenal,2,3,1,1,3,14,12,3,3,27,3,0,8,234,155,11,17,14,9,1,73,4,0,1,635,535
104,2018,2018-09-02T15:00:00+00:00,Vicarage Road,Regular Season - 4,Watford,Tottenham,2,1,0,0,3,7,9,3,2,34,2,0,2,289,187,2,11,8,10,2,66,1,0,1,532,420
105,2018,2018-09-15T11:30:00+00:00,Wembley Stadium,Regular Season - 5,Tottenham,Liverpool,1,2,0,1,3,11,17,5,3,60,0,0,8,549,443,10,17,16,4,2,40,0,0,2,356,267
106,2018,2018-09-15T14:00:00+00:00,Vitality Stadium,Regular Season - 5,Bournemouth,Leicester,4,2,3,0,5,10,13,4,1,46,3,0,5,360,257,8,14,15,6,3,54,4,1,1,398,303
107,2018,2018-09-15T14:00:00+00:00,Stamford Bridge,Regular Season - 5,Chelsea,Cardiff,4,1,2,1,7,18,8,5,0,76,0,0,1,766,669,2,6,10,4,0,24,0,0,3,227,133
108,2018,2018-09-15T14:00:00+00:00,John Smith's Stadium,Regular Season - 5,Huddersfield,Crystal Palace,0,1,0,1,2,15,11,5,5,58,1,0,1,494,411,2,7,17,3,2,42,2,0,2,363,287
109,2018,2018-09-15T14:00:00+00:00,Etihad Stadium,Regular Season - 5,Manchester City,Fulham,3,0,2,0,9,28,7,10,5,64,0,0,3,736,670,3,9,7,4,2,36,0,0,6,400,322
110,2018,2018-09-15T14:00:00+00:00,St James' Park,Regular Season - 5,Newcastle,Arsenal,1,2,0,0,2,4,13,10,3,36,0,0,0,327,216,2,12,11,4,1,64,0,0,1,598,503
111,2018,2018-09-15T16:30:00+00:00,Vicarage Road,Regular Season - 5,Watford,Manchester United,1,2,0,2,5,14,9,6,2,42,2,0,4,387,291,6,9,11,8,4,58,3,1,4,520,419
112,2018,2018-09-16T12:30:00+00:00,Molineux Stadium,Regular Season - 5,Wolves,Burnley,1,0,0,0,7,30,10,8,1,58,2,0,2,567,469,2,7,9,2,1,42,4,0,5,395,297
113,2018,2018-09-16T15:00:00+00:00,Goodison Park,Regular Season - 5,Everton,West Ham,1,3,1,2,4,16,15,4,3,55,2,0,1,458,352,4,9,12,2,0,45,5,0,3,380,283
114,2018,2018-09-17T19:00:00+00:00,St. Mary's Stadium,Regular Season - 5,Southampton,Brighton,2,2,1,0,5,14,10,1,2,51,2,0,2,468,369,4,12,13,4,2,49,3,0,2,442,337
115,2018,2018-09-22T11:30:00+00:00,Craven Cottage,Regular Season - 6,Fulham,Watford,1,1,0,1,3,15,11,8,5,60,2,0,5,524,399,6,11,9,8,6,40,1,0,2,335,218
116,2018,2018-09-22T14:00:00+00:00,Turf Moor,Regular Season - 6,Burnley,Bournemouth,4,0,2,0,5,12,17,3,1,37,2,0,5,360,243,5,19,6,8,2,63,0,0,1,604,498
117,2018,2018-09-22T14:00:00+00:00,Cardiff City Stadium,Regular Season - 6,Cardiff,Manchester City,0,5,0,3,2,2,6,1,2,21,1,0,5,218,146,10,21,4,9,1,79,1,0,2,799,725
118,2018,2018-09-22T14:00:00+00:00,Selhurst Park,Regular Season - 6,Crystal Palace,Newcastle,0,0,0,0,4,16,8,9,2,61,1,0,3,481,378,3,6,11,5,1,39,1,0,4,299,205
119,2018,2018-09-22T14:00:00+00:00,King Power Stadium,Regular Season - 6,Leicester,Huddersfield,3,1,1,1,8,18,10,3,1,62,2,0,1,589,505,2,9,16,1,0,38,1,0,5,357,261
120,2018,2018-09-22T14:00:00+00:00,Anfield,Regular Season - 6,Liverpool,Southampton,3,0,3,0,4,12,7,5,4,60,0,0,1,750,648,1,7,10,4,1,40,2,0,1,479,388
121,2018,2018-09-22T14:00:00+00:00,Old Trafford,Regular Season - 6,Manchester United,Wolves,1,1,1,0,6,15,5,5,3,64,1,0,7,684,583,8,11,17,4,2,36,1,0,5,379,282
122,2018,2018-09-22T16:30:00+00:00,American Express Community Stadium,Regular Season - 6,Brighton,Tottenham,1,2,0,1,4,8,15,5,2,28,2,0,5,255,189,7,16,9,7,0,72,1,0,3,658,583
123,2018,2018-09-23T12:30:00+00:00,London Stadium,Regular Season - 6,West Ham,Chelsea,0,0,0,0,1,6,11,1,2,28,2,0,6,297,221,6,17,9,8,3,72,1,0,1,758,664
124,2018,2018-09-23T15:00:00+00:00,Emirates Stadium,Regular Season - 6,Arsenal,Everton,2,0,0,0,5,9,17,5,1,62,2,0,6,555,460,6,10,12,9,2,38,1,0,3,315,238
125,2018,2018-09-29T11:30:00+00:00,London Stadium,Regular Season - 7,West Ham,Manchester United,3,1,2,0,3,8,12,4,2,49,0,0,3,455,374,4,9,12,9,4,51,1,0,1,457,392
126,2018,2018-09-29T14:00:00+00:00,Emirates Stadium,Regular Season - 7,Arsenal,Watford,2,0,0,0,2,9,11,6,1,63,2,0,5,542,447,5,14,17,6,3,37,2,0,1,298,207
127,2018,2018-09-29T14:00:00+00:00,Goodison Park,Regular Season - 7,Everton,Fulham,3,0,0,0,6,19,13,12,6,51,0,0,0,388,314,0,6,13,1,0,49,3,0,3,391,313
128,2018,2018-09-29T14:00:00+00:00,John Smith's Stadium,Regular Season - 7,Huddersfield,Tottenham,0,2,0,2,5,9,17,3,1,52,2,0,4,420,308,6,10,16,0,1,48,2,0,5,388,282
129,2018,2018-09-29T14:00:00+00:00,Etihad Stadium,Regular Season - 7,Manchester City,Brighton,2,0,1,0,8,28,4,10,0,80,0,0,1,850,789,1,4,10,3,2,20,3,0,6,210,137
130,2018,2018-09-29T14:00:00+00:00,St James' Park,Regular Season - 7,Newcastle,Leicester,0,2,0,1,1,6,11,5,1,41,0,0,3,376,271,5,12,5,9,0,59,0,0,1,525,416
131,2018,2018-09-29T14:00:00+00:00,Molineux Stadium,Regular Season - 7,Wolves,Southampton,2,0,0,0,6,14,11,8,0,48,3,0,6,425,352,6,17,7,6,2,52,1,0,4,444,365
132,2018,2018-09-29T16:30:00+00:00,Stamford Bridge,Regular Season - 7,Chelsea,Liverpool,1,1,1,0,4,10,7,4,2,47,0,0,3,558,465,6,13,9,4,2,53,2,0,3,616,516
133,2018,2018-09-30T15:00:00+00:00,Cardiff City Stadium,Regular Season - 7,Cardiff,Burnley,1,2,0,0,5,20,11,10,2,54,1,0,0,318,197,2,3,15,2,1,46,3,0,3,287,159
134,2018,2018-10-01T19:00:00+00:00,Vitality Stadium,Regular Season - 7,Bournemouth,Crystal Palace,2,1,1,0,5,11,9,3,2,44,3,0,1,425,335,2,10,12,3,2,56,4,0,3,532,449
135,2018,2018-10-05T19:00:00+00:00,American Express Community Stadium,Regular Season - 8,Brighton,West Ham,1,0,1,0,4,9,12,2,5,35,3,0,4,282,192,4,17,8,9,1,65,2,0,3,514,431
136,2018,2018-10-06T14:00:00+00:00,Turf Moor,Regular Season - 8,Burnley,Huddersfield,1,1,1,0,3,6,9,1,3,31,2,0,1,275,169,2,18,11,10,0,69,2,0,2,580,463
137,2018,2018-10-06T14:00:00+00:00,Selhurst Park,Regular Season - 8,Crystal Palace,Wolves,0,1,0,0,4,11,11,6,1,67,3,0,1,641,530,2,7,13,3,1,33,4,0,4,314,213
138,2018,2018-10-07T11:00:00+00:00,Craven Cottage,Regular Season - 8,Fulham,Arsenal,1,5,1,1,4,21,11,4,4,48,2,0,2,473,383,7,9,12,2,1,52,0,0,3,504,398
139,2018,2018-10-06T14:00:00+00:00,King Power Stadium,Regular Season - 8,Leicester,Everton,1,2,1,1,2,8,10,2,5,51,4,1,6,461,347,8,17,11,10,0,49,1,0,1,423,313
140,2018,2018-10-07T15:30:00+00:00,Anfield,Regular Season - 8,Liverpool,Manchester City,0,0,0,0,2,7,10,2,2,49,1,0,2,515,430,2,6,10,6,5,51,3,0,2,528,439
141,2018,2018-10-06T16:30:00+00:00,Old Trafford,Regular Season - 8,Manchester United,Newcastle,3,2,0,2,10,18,16,10,1,73,2,0,6,610,509,8,13,8,6,0,27,2,0,7,222,129
142,2018,2018-10-07T13:15:00+00:00,St. Mary's Stadium,Regular Season - 8,Southampton,Chelsea,0,3,0,1,6,15,13,4,0,34,6,0,3,346,273,6,21,11,12,0,66,0,0,6,651,575
143,2018,2018-10-06T14:00:00+00:00,Wembley Stadium,Regular Season - 8,Tottenham,Cardiff,1,0,1,0,7,19,7,6,0,75,3,0,5,685,590,6,8,11,2,3,25,1,1,5,222,138
144,2018,2018-10-06T14:00:00+00:00,Vicarage Road,Regular Season - 8,Watford,Bournemouth,0,4,0,3,2,14,11,10,1,47,5,1,3,374,291,7,10,9,7,2,53,1,0,2,426,355
145,2018,2018-10-22T19:00:00+00:00,Emirates Stadium,Regular Season - 9,Arsenal,Leicester,3,1,1,1,6,19,10,6,2,69,2,0,2,703,602,2,8,10,4,1,31,2,0,3,309,228
146,2018,2018-10-20T14:00:00+00:00,Vitality Stadium,Regular Season - 9,Bournemouth,Southampton,0,0,0,0,2,9,11,6,0,57,1,0,4,458,350,4,8,14,4,4,43,2,0,2,346,250
147,2018,2018-10-20T14:00:00+00:00,Cardiff City Stadium,Regular Season - 9,Cardiff,Fulham,4,2,2,2,5,22,15,4,0,40,3,0,2,313,200,4,9,16,4,0,60,3,0,1,479,368
148,2018,2018-10-20T11:30:00+00:00,Stamford Bridge,Regular Season - 9,Chelsea,Manchester United,2,2,1,0,6,21,9,5,2,62,2,0,2,611,543,4,7,17,3,1,38,5,0,4,371,282
149,2018,2018-10-21T15:00:00+00:00,Goodison Park,Regular Season - 9,Everton,Crystal Palace,2,0,0,0,4,20,13,10,1,59,2,0,4,510,424,3,7,17,5,0,41,1,0,2,350,254
150,2018,2018-10-20T16:30:00+00:00,John Smith's Stadium,Regular Season - 9,Huddersfield,Liverpool,0,1,0,1,1,13,9,2,3,47,0,0,1,521,419,2,11,6,4,2,53,2,0,1,585,473
151,2018,2018-10-20T14:00:00+00:00,Etihad Stadium,Regular Season - 9,Manchester City,Burnley,5,0,1,0,10,24,11,10,0,69,2,0,0,679,597,0,5,5,1,0,31,2,0,5,302,226
152,2018,2018-10-20T14:00:00+00:00,St James' Park,Regular Season - 9,Newcastle,Brighton,0,1,0,1,6,27,13,10,1,68,0,0,1,504,414,2,8,17,2,1,32,2,0,6,247,151
153,2018,2018-10-20T14:00:00+00:00,London Stadium,Regular Season - 9,West Ham,Tottenham,0,1,0,1,4,13,8,10,3,44,3,0,1,377,307,2,10,10,6,2,56,0,0,4,506,437
154,2018,2018-10-20T14:00:00+00:00,Molineux Stadium,Regular Season - 9,Wolves,Watford,0,2,0,2,1,10,23,8,2,44,3,0,1,420,325,3,9,13,2,1,56,1,0,1,550,463
155,2018,2018-10-27T14:00:00+00:00,American Express Community Stadium,Regular Season - 10,Brighton,Wolves,1,0,0,0,1,7,11,1,0,39,3,0,7,362,262,7,25,8,10,1,61,0,0,0,523,439
156,2018,2018-10-28T13:30:00+00:00,Turf Moor,Regular Season - 10,Burnley,Chelsea,0,4,0,1,1,7,14,4,5,30,4,0,4,325,266,8,24,10,4,0,70,2,0,1,796,720
157,2018,2018-10-28T13:30:00+00:00,Selhurst Park,Regular Season - 10,Crystal Palace,Arsenal,2,2,1,0,3,16,10,6,2,42,1,0,0,399,311,2,7,16,4,0,58,2,0,1,555,463
158,2018,2018-10-27T14:00:00+00:00,Craven Cottage,Regular Season - 10,Fulham,Bournemouth,0,3,0,1,1,11,16,5,1,52,4,1,2,547,453,5,12,3,5,1,48,1,0,1,495,421
159,2018,2018-10-27T16:30:00+00:00,King Power Stadium,Regular Season - 10,Leicester,West Ham,1,1,0,1,7,21,17,8,7,64,1,0,2,552,457,3,11,5,0,1,36,1,1,7,327,227
160,2018,2018-10-27T14:00:00+00:00,Anfield,Regular Season - 10,Liverpool,Cardiff,4,1,1,0,7,19,6,8,0,79,0,0,0,818,727,1,2,4,0,4,21,0,0,2,207,122
161,2018,2018-10-28T16:00:00+00:00,Old Trafford,Regular Season - 10,Manchester United,Everton,2,1,1,0,10,14,15,8,7,53,2,0,5,486,391,6,14,12,4,0,47,1,0,8,413,332
162,2018,2018-10-27T14:00:00+00:00,St. Mary's Stadium,Regular Season - 10,Southampton,Newcastle,0,0,0,0,4,22,9,7,1,50,0,0,0,405,302,0,6,12,2,3,50,1,0,4,414,297
163,2018,2018-10-29T20:00:00+00:00,Wembley Stadium,Regular Season - 10,Tottenham,Manchester City,0,1,0,1,1,4,13,3,4,48,2,0,4,476,382,6,13,13,6,4,52,2,0,1,514,429
164,2018,2018-10-27T14:00:00+00:00,Vicarage Road,Regular Season - 10,Watford,Huddersfield,3,0,2,0,6,12,9,3,3,48,1,0,7,467,366,7,13,13,3,3,52,2,0,3,498,399
165,2018,2018-11-03T17:30:00+00:00,Emirates Stadium,Regular Season - 11,Arsenal,Liverpool,1,1,0,0,4,12,7,5,7,61,1,0,3,586,501,4,13,7,8,1,39,1,0,3,356,276
166,2018,2018-11-03T12:30:00+00:00,Vitality Stadium,Regular Season - 11,Bournemouth,Manchester United,1,2,1,1,7,18,12,9,0,48,4,0,4,412,317,8,18,12,5,5,52,3,0,6,447,356
167,2018,2018-11-03T15:00:00+00:00,Cardiff City Stadium,Regular Season - 11,Cardiff,Leicester,0,1,0,0,2,11,13,6,4,40,2,0,3,271,166,5,13,12,12,3,60,2,0,2,403,305
168,2018,2018-11-04T16:00:00+00:00,Stamford Bridge,Regular Season - 11,Chelsea,Crystal Palace,3,1,1,0,6,15,6,4,6,73,0,0,1,883,799,2,7,13,2,1,27,1,0,3,313,242
169,2018,2018-11-03T15:00:00+00:00,Goodison Park,Regular Season - 11,Everton,Brighton,3,1,1,1,3,14,9,6,2,61,0,0,2,491,408,3,5,17,4,2,39,1,0,0,315,215
170,2018,2018-11-05T20:00:00+00:00,John Smith's Stadium,Regular Season - 11,Huddersfield,Fulham,1,0,1,0,2,10,11,5,3,45,1,0,1,387,261,1,8,8,4,6,55,2,0,2,490,350
171,2018,2018-11-04T15:00:00+00:00,Etihad Stadium,Regular Season - 11,Manchester City,Southampton,6,1,4,1,8,18,14,4,1,67,1,0,5,729,664,6,13,9,4,1,33,1,0,3,341,269
172,2018,2018-11-03T15:00:00+00:00,St James' Park,Regular Season - 11,Newcastle,Watford,1,0,0,0,2,10,12,8,4,41,1,0,1,326,221,1,16,11,9,2,59,5,0,1,452,359
173,2018,2018-11-03T15:00:00+00:00,London Stadium,Regular Season - 11,West Ham,Burnley,4,2,1,1,10,22,7,10,2,62,1,0,1,525,425,3,6,9,4,2,38,4,0,5,311,197
174,2018,2018-11-03T19:45:00+00:00,Molineux Stadium,Regular Season - 11,Wolves,Tottenham,2,3,0,2,7,16,11,5,5,48,1,0,5,458,374,8,10,8,1,3,52,2,0,5,505,417
175,2018,2018-11-11T16:30:00+00:00,Emirates Stadium,Regular Season - 12,Arsenal,Wolves,1,1,0,1,3,10,9,11,1,71,2,0,4,734,635,5,13,16,2,2,29,2,0,2,292,208
176,2018,2018-11-10T12:30:00+00:00,Cardiff City Stadium,Regular Season - 12,Cardiff,Brighton,2,1,1,1,6,20,7,4,0,60,2,0,2,472,362,3,7,21,1,0,40,1,1,3,315,202
177,2018,2018-11-11T14:15:00+00:00,Stamford Bridge,Regular Season - 12,Chelsea,Everton,0,0,0,0,4,15,7,5,5,68,4,0,1,688,615,1,6,11,5,7,32,3,0,4,309,233
178,2018,2018-11-10T17:30:00+00:00,"Selhurst Park, London",Regular Season - 12,Crystal Palace,Tottenham,0,1,0,0,5,11,12,10,4,35,1,0,1,306,203,2,11,9,6,1,65,1,0,5,581,484
179,2018,2018-11-10T15:00:00+00:00,"John Smith's Stadium, Huddersfield",Regular Season - 12,Huddersfield,West Ham,1,1,1,0,7,15,9,5,7,43,1,0,2,354,257,5,12,8,6,3,57,1,0,6,448,345
180,2018,2018-11-10T15:00:00+00:00,"King Power Stadium, Leicester",Regular Season - 12,Leicester,Burnley,0,0,0,0,5,22,13,12,1,63,2,0,1,479,377,1,6,10,1,2,37,0,0,4,298,189
181,2018,2018-11-11T12:00:00+00:00,Anfield,Regular Season - 12,Liverpool,Fulham,2,0,1,0,7,21,11,6,2,73,1,0,3,725,631,3,8,9,3,5,27,1,0,5,263,186
182,2018,2018-11-11T16:30:00+00:00,Etihad Stadium,Regular Season - 12,Manchester City,Manchester United,3,1,1,0,5,17,12,5,0,64,1,0,0,700,642,1,6,12,1,0,36,1,0,2,380,319
183,2018,2018-11-10T15:00:00+00:00,"St James' Park, Newcastle upon Tyne",Regular Season - 12,Newcastle,Bournemouth,2,1,2,1,6,18,9,7,2,39,2,0,3,323,222,4,14,11,10,2,61,1,0,5,505,401
184,2018,2018-11-10T15:00:00+00:00,"St. Mary's Stadium, Southampton",Regular Season - 12,Southampton,Watford,1,1,1,0,4,14,13,7,4,42,3,0,5,305,210,6,12,13,6,4,58,2,0,3,420,302
185,2018,2018-11-25T13:30:00+00:00,Vitality Stadium,Regular Season - 13,Bournemouth,Arsenal,1,2,1,1,5,11,6,5,4,41,2,0,3,394,295,4,20,9,8,2,59,1,0,5,574,464
186,2018,2018-11-24T15:00:00+00:00,American Express Community Stadium,Regular Season - 13,Brighton,Leicester,1,1,1,0,3,14,10,6,5,54,3,0,2,431,336,3,8,7,1,1,46,3,1,2,369,274
187,2018,2018-11-26T20:30:00+00:00,Turf Moor,Regular Season - 13,Burnley,Newcastle,1,2,1,2,4,14,6,5,1,56,0,0,1,585,487,3,17,11,5,1,44,1,0,3,450,365
188,2018,2018-11-24T15:00:00+00:00,Goodison Park,Regular Season - 13,Everton,Cardiff,1,0,0,0,8,16,12,7,0,70,0,0,1,517,412,1,7,13,3,1,30,3,0,6,220,115
189,2018,2018-11-24T15:00:00+00:00,Craven Cottage,Regular Season - 13,Fulham,Southampton,3,2,2,1,5,10,10,2,4,37,2,0,6,370,264,8,19,6,5,1,63,3,0,2,600,480
190,2018,2018-11-24T15:00:00+00:00,Old Trafford,Regular Season - 13,Manchester United,Crystal Palace,0,0,0,0,5,12,13,10,2,59,1,0,2,509,421,2,13,12,3,3,41,2,0,5,351,264
191,2018,2018-11-24T17:30:00+00:00,Wembley Stadium,Regular Season - 13,Tottenham,Chelsea,3,1,2,0,9,18,19,4,3,39,0,0,1,369,279,2,13,12,4,5,61,3,0,6,549,467
192,2018,2018-11-24T15:00:00+00:00,Vicarage Road,Regular Season - 13,Watford,Liverpool,0,3,0,0,1,5,12,5,4,36,0,0,4,360,250,7,10,13,5,4,64,2,1,1,637,526
193,2018,2018-11-24T15:00:00+00:00,London Stadium,Regular Season - 13,West Ham,Manchester City,0,4,0,3,1,9,6,8,2,30,0,0,2,359,269,6,9,3,1,3,70,0,0,1,839,747
194,2018,2018-11-25T16:00:00+00:00,Molineux Stadium,Regular Season - 13,Wolves,Huddersfield,0,2,0,1,3,12,9,3,1,44,1,0,4,443,332,6,14,8,5,1,56,2,0,2,547,434
195,2018,2018-12-02T14:05:00+00:00,Emirates Stadium,Regular Season - 14,Arsenal,Tottenham,4,2,1,2,7,22,15,8,5,59,3,0,4,477,404,6,11,17,5,2,41,5,1,2,331,237
