fixture_id,season,date,stadium,game_week,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots_on_target,home_shots,home_fouls,home_corners,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_attempted_passes,home_successful_passes,away_shots_on_target,away_shots,away_fouls,away_corners,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_attempted_passes,away_successful_passes
11532,2017,2018-05-13T14:00:00+00:00,Turf Moor,Regular Season - 38,Burnley,Bournemouth,1,2,1,0,4,10,14,7,3,51,0,0,3,416,303,5,16,9,8,1,49,0,0,3,401,305
11533,2017,2018-05-13T14:00:00+00:00,Selhurst Park,Regular Season - 38,Crystal Palace,West Brom,2,0,0,0,5,11,10,4,1,59,2,0,1,560,485,1,7,11,2,1,41,3,0,4,379,300
11534,2017,2018-05-13T14:00:00+00:00,John Smith's Stadium,Regular Season - 38,Huddersfield,Arsenal,0,1,0,1,3,19,11,7,0,45,1,0,3,399,308,4,9,7,4,2,55,0,0,3,519,414
11535,2017,2018-05-13T14:00:00+00:00,Anfield,Regular Season - 38,Liverpool,Brighton,4,0,2,0,11,22,3,7,1,72,0,0,1,737,658,1,2,6,3,1,28,0,0,6,275,194
11536,2017,2018-05-13T14:00:00+00:00,Old Trafford,Regular Season - 38,Manchester United,Watford,1,0,1,0,1,7,6,6,5,51,4,0,3,460,370,3,7,11,5,1,49,0,0,0,429,355
11537,2017,2018-05-13T14:00:00+00:00,St James' Park,Regular Season - 38,Newcastle,Chelsea,3,0,1,0,6,16,11,4,0,42,0,0,2,406,316,2,6,10,2,2,58,1,0,4,568,484
11538,2017,2018-05-13T14:00:00+00:00,St. Mary's Stadium,Regular Season - 38,Southampton,Manchester City,0,1,0,0,3,8,8,1,4,30,3,0,1,259,173,2,13,10,12,2,70,2,0,2,583,506
11539,2017,2018-05-13T14:00:00+00:00,Liberty Stadium,Regular Season - 38,Swansea,Stoke City,1,2,1,2,11,27,12,6,1,57,1,0,3,544,472,5,8,9,0,5,43,2,0,9,414,336
11540,2017,2018-05-13T14:00:00+00:00,Wembley Stadium,Regular Season - 38,Tottenham,Leicester,5,4,1,2,6,14,9,4,2,64,1,0,5,480,393,9,17,13,4,4,36,2,0,2,265,193
11541,2017,2018-05-13T14:00:00+00:00,London Stadium,Regular Season - 38,West Ham,Everton,3,1,1,0,4,15,10,6,4,56,0,0,6,479,396,7,14,13,6,1,44,1,0,1,365,283
11542,2017,2018-05-10T18:45:00+00:00,London Stadium,Regular Season - 31,West Ham,Manchester United,0,0,0,0,2,9,12,1,1,44,1,0,6,476,395,6,16,12,6,2,56,1,0,2,601,519
11543,2017,2018-05-09T19:00:00+00:00,Etihad Stadium,Regular Season - 31,Manchester City,Brighton,3,1,2,1,7,19,5,4,1,73,0,0,2,854,784,3,6,7,3,2,27,1,0,4,301,240
11544,2017,2018-05-09T19:00:00+00:00,Wembley Stadium,Regular Season - 31,Tottenham,Newcastle,1,0,0,0,7,11,10,6,4,62,2,0,3,551,459,3,14,8,4,1,38,3,0,6,319,211
11545,2017,2018-05-09T18:45:00+00:00,King Power Stadium,Regular Season - 31,Leicester,Arsenal,3,1,1,0,10,19,7,6,6,40,2,0,6,310,241,7,14,12,6,1,60,2,1,7,477,386
11546,2017,2018-05-09T18:45:00+00:00,Stamford Bridge,Regular Season - 35,Chelsea,Huddersfield,1,1,0,0,5,22,7,9,2,77,0,0,1,831,722,2,3,10,0,0,23,1,0,4,243,137
11547,2017,2018-05-08T18:45:00+00:00,Liberty Stadium,Regular Season - 31,Swansea,Southampton,0,1,0,0,3,11,7,7,2,53,2,0,7,416,300,8,13,15,6,0,47,1,0,3,372,253
11548,2017,2018-05-06T15:30:00+00:00,Emirates Stadium,Regular Season - 37,Arsenal,Burnley,5,0,2,0,8,16,6,4,0,63,0,0,2,662,591,2,6,7,5,0,37,1,0,3,372,296
11549,2017,2018-05-06T15:30:00+00:00,Stamford Bridge,Regular Season - 37,Chelsea,Liverpool,1,0,1,0,4,12,12,3,2,31,3,0,5,354,253,5,10,9,1,0,69,2,0,3,763,668
11550,2017,2018-05-06T12:30:00+00:00,Etihad Stadium,Regular Season - 37,Manchester City,Huddersfield,0,0,0,0,2,15,9,10,1,79,0,0,3,720,630,3,5,4,1,1,21,3,0,2,193,108
11551,2017,2018-05-05T16:30:00+00:00,Goodison Park,Regular Season - 37,Everton,Southampton,1,1,0,0,3,9,14,3,2,54,2,0,4,415,325,5,11,12,4,4,46,6,1,2,358,264
11552,2017,2018-05-05T14:00:00+00:00,Vitality Stadium,Regular Season - 37,Bournemouth,Swansea,1,0,1,0,5,13,10,11,4,45,1,0,3,365,277,3,12,10,6,1,55,4,0,4,446,326
11553,2017,2018-05-05T14:00:00+00:00,King Power Stadium,Regular Season - 37,Leicester,West Ham,0,2,0,1,2,13,8,8,2,54,1,0,1,417,328,3,13,9,3,2,46,2,0,3,363,269
11554,2017,2018-05-05T14:00:00+00:00,Vicarage Road,Regular Season - 37,Watford,Newcastle,2,1,2,0,8,11,9,2,5,39,2,0,1,384,288,1,9,11,5,3,61,1,0,6,577,474
11555,2017,2018-05-05T14:00:00+00:00,The Hawthorns,Regular Season - 37,West Brom,Tottenham,1,0,0,0,1,9,13,5,2,26,4,0,5,210,126,5,18,12,9,0,74,1,0,2,615,518
11556,2017,2018-05-05T11:30:00+00:00,bet365 Stadium,Regular Season - 37,Stoke City,Crystal Palace,1,2,1,0,2,7,18,1,2,41,5,0,0,283,185,2,13,12,7,2,59,2,0,1,411,315
11557,2017,2018-05-04T19:00:00+00:00,American Express Community Stadium,Regular Season - 37,Brighton,Manchester United,1,0,0,0,4,11,5,5,1,31,2,0,3,313,219,3,16,3,6,2,69,0,0,3,675,598
11558,2017,2018-04-30T19:00:00+00:00,Wembley Stadium,Regular Season - 36,Tottenham,Watford,2,0,1,0,3,13,11,4,3,61,1,0,5,557,479,5,13,10,0,3,39,0,0,1,354,256
